id,name,website,task_file
WtNHh7O2sKZ0aqvet9yonQJmyJol,"\""apollo\"" flow controls, manufactured by conbraco industries",apollovalves.com,tasks/apollo-flow-controls-manufactured-by-conbraco-industries-WtNHh7O2.md
mQjRE7j2TC5bW90Jwiy08wckzZAG,a.y. mcdonald mfg. co.,aymcdonald.com,tasks/a-y-mcdonald-mfg-co-mQjRE7j2.md
egjXuCNqo8tWeqbj2l17mAPvKCIF,aquestia usa,controlvalves.com,tasks/aquestia-usa-egjXuCNq.md
eA75EawePzbDZHrzJOzmDgXyBpR8,cla-val,cla-val.com,tasks/cla-val-eA75Eawe.md
ERQnyRuUG54mlpD7iqxxkQbi8XuT,dezurik,dezurik.com,tasks/dezurik-ERQnyRuU.md
iRzaIU26Hdl9CMCtNmKfKQ6k2u8h,dorot control valves,dorot.com,tasks/dorot-control-valves-iRzaIU26.md
CqbnigigXCdI4rKXgcyWxAUifThO,henry pratt company,henrypratt.com,tasks/henry-pratt-company-Cqbnigig.md
C7TpZNLaDQOduDAGTy6vJwZW0hUF,itt engineered valves,engvalves.com,tasks/itt-engineered-valves-C7TpZNLa.md
BFKJ7LbOsinzJZChqw4BRAWC1s5W,kennedy valve company,kennedyvalve.com,tasks/kennedy-valve-company-BFKJ7LbO.md
UgmXF4rA9Nnh8BoaGeKGhgyN6kH8,m&h valve company,mh-valve.com,tasks/m-and-h-valve-company-UgmXF4rA.md
UJjToICZmDiUsaEdY4nOQgbn5bxY,"milwaukee valve company, llc.",milwaukeevalve.com,tasks/milwaukee-valve-company-llc-UJjToICZ.md
DeBEaqKrRhSdnewQONDJpACVsmxt,mueller water products,muellerwaterproducts.com,tasks/mueller-water-products-DeBEaqKr.md
WGnCJahQhT6Im1DE2z6ijQ2ac6QH,nibco inc.,nibco.com,tasks/nibco-inc-WGnCJahQ.md
AmTEkWVLVVzhna3YqpAX0QgA58wj,watts water technologies,wattswater.eu,tasks/watts-water-technologies-AmTEkWVL.md
lqAC38dS20I3mojEd90LvQwNmwsb,zurn elkay water solutions,zurnelkay.com,tasks/zurn-elkay-water-solutions-lqAC38dS.md
